KEY,TAB,DESCRIPTION,ALLOWED_CHARS,HINT
"ISTS.CFG.DCSQTY","Setup","Force Job Tracking in SO/PO/WO","YN",""
"ISTS.CFG.DCSYNC","Setup","Syncronize WS to Server Date and Time","YN",""
"ISTS.CFG.DCTIME","Setup","DC-A/DC-C: Round Shift Start/Stop by X minutes","123456789 0",""
"ISTS.CFG.DCTMSS","Setup","DC-A/DC-C: Limit Shift Rounding to Shift Start/Stop","YN",""
"ISTS.CFG.DCTSWC","Processing","Enter Reg/OT Hours together in WO-F","",""
"ISTS.CFG.DELBIN","Warehouse Control","Delete Zero Qty Bins?(WC II only)","Y N",""
"ISTS.CFG.DEPEB","Company II","DEPE Bat:","",""
"ISTS.CFG.DEPFB","Company II","DEPF Bat:","",""
"ISTS.CFG.DISC99","Processing","SO-G: Auto process Fin Prod for Converted WO","Y N",""
"ISTS.CFG.DIVOHD","Processing","Divide Overhead by # of Jobs Worked","YN",""
"ISTS.CFG.DIVSET","Processing","Prevent Item Creation from ES-A","YN",""
"ISTS.CFG.DSDTES","Processing II","PO-A: Chg Due Dates without new Approvals","Y N",""
"ISTS.CFG.DSFEE","Setup III","DETB/EDI: Drop Ship Fee Item No","",""
"ISTS.CFG.DTERES","Processing","WOG, WOI: Specify Component Location","YN","Y = Yes '#13#10'N = No'#13#10"
"ISTS.CFG.DUPLNS","Setup II","Prevent Duplicate SO Lines (Y/N/W)","Y NW",""
"ISTS.CFG.ECO","Processing","PO-C to update Std. Cost if Cost is $0.00","Y NL",""
"ISTS.CFG.ECO1","Processing","Use ITP Numbers for Work Orders?","Y N",""
"ISTS.CFG.EDIBOL","Setup","DC-A Warning for WO with Active Status E Item","Y N",""
"ISTS.CFG.EDIOUT","Company II","EDI Export to use {document #}.out (Y/N)","Y N",""
"ISTS.CFG.EHPASS","Company","Enable Enhanced Passwords","YN","Will turn on 60 character encrypted Passwords."
"ISTS.CFG.EMAILP","Processing II","POA,POB: PO Lot Charge Item","Y N",""
"ISTS.CFG.EMAILS","Setup III","Company","Y N",""
"ISTS.CFG.EPASS","Company","Permanently Encrypt Passwords Evo only","YN",""
"ISTS.CFG.EPOQTY","Processing","Prevent Item Creation from PI-C","YN",""
"ISTS.CFG.EPYACH","Accts. Payable","AP-H: ePay and ACH to use ACH Numbers","Y N",""
"ISTS.CFG.ESAFRT","Estimates","Stop Freight/Duty from pulling into Estimates","Y N",""
"ISTS.CFG.ESDMSG","Processing","Enter Reg/OT Hours together in WO-F","Y N",""
"ISTS.CFG.EVOALT","Company","Trigger Alerts in Order Entry Programs for New or All (N/A)","NA",""
"ISTS.CFG.EVOLNK","Company","Use Ship Via Code for Vendors (Y/N)","Y N",""
"ISTS.CFG.EVOMAX","Company","Trigger Alerts in Order Entry Programs for New or All (N/A)","Y N",""
"ISTS.CFG.EVONTS","Company","Use Ship Via Code for Customers (N/C/S)","Y N",""
"ISTS.CFG.FAMSG","Company","Force Alerts to be Viewed. Notes, Links or Both (N/L/B)","NLB",""
"ISTS.CFG.FOREC","MRP","Include Forecast in Stock status?","Y N",""
"ISTS.CFG.FPCHK","Processing","PO-A Recal Vend Price for item on multi line(Y,N,A)","YNL",""
"ISTS.CFG.FPLOT","Processing II","Disable KIT program from double validating part numbers","Y N",""
"ISTS.CFG.FPSER#","Processing","SOQA/INB: Disable Base Price passdown to subsid Co","YN",""
"ISTS.CFG.FRTMAX","Setup II","Maximim Freight Amount of $9,999.99 (Y/N)","Y N",""
"ISTS.CFG.FTDSC","Accts. Payable","Period 2 Greater then","Y N",""
"ISTS.CFG.FUPSWD","Company II","Password","",""
"ISTS.CFG.FXKEY","International","Oanda.com API Key","",""
"ISTS.CFG.GENBIN","Warehouse Control","Blank Bin Name","",""
"ISTS.CFG.GENITM","Setup","Enable New Item Configuration Generator","Y N",""
"ISTS.CFG.GLBSDT","Setup","Use Material Burden","Y N",""
"ISTS.CFG.GLCTRL","Setup","Allow WO'#39's for Make From Items","P G",""
"ISTS.CFG.HHALOT","Hand Held","HH-A: Prevent creating new Lot No [Y,N,A]","YNA",""
"ISTS.CFG.HHANEG","Hand Held","HH-A: Prevent Inventory from going Neg [Y,N,A]","YNA",""
"ISTS.CFG.HHASER","Hand Held","HH-A: Prevent creating new Serial No [Y,N,A]","YNA",""
"ISTS.CFG.HHCKIT","Hand Held","HH-C: Allow Kit Issue Material [YNA]","YNA",""
"ISTS.CFG.HHCPW1","Hand Held","HH-C: Prevent Over-Issue Password","",""
"ISTS.CFG.HHCPW2","Hand Held","Password","",""
"ISTS.CFG.HHDBIN","Hand Held","HH-A: Use WC Default Bin","YN",""
"ISTS.CFG.HHDCWO","Hand Held","HH-D: Close WO at HH Enter Finished Production","YN",""
"ISTS.CFG.HHEQTY","Hand Held","HH-I: Call QC-F-A when reporting NRC Quantity","Y N",""
"ISTS.CFG.HHFLOC","Hand Held","HH-K: Transit Location","",""
"ISTS.CFG.HHINCR","Hand Held","HH-I: Call QC-F-A when reporting NRC Quantity","Y N",""
"ISTS.CFG.HHLBLS","Hand Held","HH-K: Inspection Location","YNAW",""
"ISTS.CFG.HHMAXQ","Hand Held","HH-A: Prevent exceeding Ship Qty[Y,N,A]","YNA",""
"ISTS.CFG.HHPOLN","Hand Held","HH-G:Allow selection of lines for multiple line PO [YN]","YNA",""
"ISTS.CFG.HHRALL","Hand Held","HH-A: Release All lines","YN",""
"ISTS.CFG.HHTLOC","Hand Held","HH-K: Inspection Location","",""
"ISTS.CFG.HIDPTH","Company","Enable Enhanced Passwords","YN",""
"ISTS.CFG.HREP","Setup","Allow Edit of Vendor Start Date in AP-A","",""
"ISTS.CFG.INACT","Processing","DCL: Payroll Period Start Date","Y N",""
"ISTS.CFG.INACUD","Setup","Show Open or Open/Closed WO in WOA (O/B)","Y N",""
"ISTS.CFG.INADTE","Setup","INP/INA: Use Calendar/Fiscal Year for Usage Calc [C/F]","F C",""
"ISTS.CFG.INAMRP","Processing","DCA/B: Backflush: Prevent AutoPost Taking OH Negative?","Y N",""
"ISTS.CFG.INANTS","Setup","Post PO Transactions?","AE D",""
"ISTS.CFG.INBBMA","Processing","PO-A Default for change dates (Y,N)","Y N",""
"ISTS.CFG.INBBMR","Processing","Enter Reg/OT Hours together in WO-F","BRA",""
"ISTS.CFG.INBCMP","Processing","PO-A Recal Vend Price for item on multi line(Y,N,A)","Y N",""
"ISTS.CFG.INBCOC","Processing","DCA/B: Force restart every hour","Y N",""
"ISTS.CFG.INBESA","Processing","Prevent Item Creation from ES-A","Y N",""
"ISTS.CFG.INBLS","Processing","WOI/HHD/HHI: Suppress Final Qty for this WO [Y/N]","Y NA",""
"ISTS.CFG.INBPIC","Processing","Prevent Item Creation from PI-C","YN L",""
"ISTS.CFG.INBPOA","Processing","WOJ: Process WIP Variance","Y N",""
"ISTS.CFG.INBSOA","Processing","SOQA/INB: Disable Base Price passdown to subsid Co","Y N",""
"ISTS.CFG.INBSOP","Processing","IN-A: Disable Rebuild Stock Status","Y N",""
"ISTS.CFG.INBTLS","Setup","INB: Use TOOLS lookup and validation setup in RO-E","Y N",""
"ISTS.CFG.INBWOA","Processing","Divide Overhead by # of Jobs Worked","Y N",""
"ISTS.CFG.INBXFR","Processing","DCM: Include Last Clock IN for All Employees","Y N",""
"ISTS.CFG.INCGL","Processing","DCA/B/C HH-F Prompt for Sequence Complete.","Y N",""
"ISTS.CFG.INCNEG","Setup","INC/INK: Prevent Taking Negative Inventory [YN]","Y N",""
"ISTS.CFG.INCSTD","Setup","INC: Use Standard Cost always checked on [Y/N]","Y N",""
"ISTS.CFG.INKTDT","Setup","INK: Allow edit to Transaction Date","Y N",""
"ISTS.CFG.INVTTL","Printing","Sales Order RTM","",""
"ISTS.CFG.ISTS","Company","Alt Drive for \ISTS\","",""
"ISTS.CFG.ISTSFU","Company II","ISTech Support File Uploads  (Y/N/P)","YNP",""
"ISTS.CFG.ITP","Processing","PO-C to update Std. Cost and Vendor if less $","YN W",""
"ISTS.CFG.JOB","Company","Force Job Tracking (Y/N/R/O)","YNRO",""
"ISTS.CFG.JOB","Setup","Show Open or Open/Closed WO in WOA (O/B)","YNR",""
"ISTS.CFG.JOBCUS","Accts. Payable","APB: Use Job or Customer Code (J/C)","JC",""
"ISTS.CFG.JOBDEC","Processing","PO-A Recal Vend Price for item on multi line(Y,N,A)","YN",""
"ISTS.CFG.JOBDEC","Setup","Post COGS Transactions?","YN",""
"ISTS.CFG.KITLOC","Processing II","Allow KIT program to select different Locations","YN",""
"ISTS.CFG.KITPRC","Processing","SO-A: Pull XREF from Ship To Customer [Y/N/B]","Y N",""
"ISTS.CFG.LABSC$","Processing","Prevent Item Creation from PI-C","YN",""
"ISTS.CFG.LEADHR","Scheduling","Calculate Lead time Hours in SH-N","YN",""
"ISTS.CFG.LIMACC","Company II","Enable Limited Access DFM'#39's","Y N",""
"ISTS.CFG.LIMNTS","Setup","Post COGS Transactions?","AE D",""
"ISTS.CFG.LIMSCT","Setup","Post WO Transactions?","FMLV",""
"ISTS.CFG.LNGWT","Processing","Use Long Weight in Calculations?","Y N",""
"ISTS.CFG.LONGP","Setup","INP/INA: Use Calendar/Fiscal Year for Usage Calc [C/F]","Y N",""
"ISTS.CFG.LOTWO","Hand Held","HH-K: Transit Location","YNAW",""
"ISTS.CFG.LOTWO","Processing","PO-C to update Std. Cost and Vendor if less $","YNA",""
"ISTS.CFG.LTWOSD","MRP","Lead Time for WO Start Date","0123456789",""
"ISTS.CFG.MAKCUS","Evo Settings","Allow CM-A to Make Customer","Y N",""
"ISTS.CFG.MAKCUS","Legacy Settings","Allow CM-A to Make Customer","Y N",""
"ISTS.CFG.MANINV","Processing","Control User Defined (Y/N/R/A)","Y N",""
"ISTS.CFG.MAXDC","Company","Permanently Encrypt Passwords Evo only","YN",""
"ISTS.CFG.METIN","Setup II","Item No for Medical Excise Tax","",""
"ISTS.CFG.METR","Setup II","Medical Excise Tax Rate","1234567890.",""
"ISTS.CFG.METSOF","Printing","Max No Lines on Packing Slip SO-C","Y N",""
"ISTS.CFG.MKFROM","Processing","Chk Stock Recvng Make From Comps  (W,I,P)","WIP","W=Warn, I=Ignore, P= Prevent"
"ISTS.CFG.MRFDTE","MRP","Use Sequence Start Date as Need Date in MR-F","Y N",""
"ISTS.CFG.MSGLVL","Company","Use Evo Login as Paperless Login","1234567890",""
"ISTS.CFG.MTERR","Customers","Make Territory Mandatory (Y/N)","YN",""
"ISTS.CFG.NCRRMD","Quality Control","Enable NCR Dispositions of RMA to call RMA Dispositions","Y N",""
"ISTS.CFG.NEGCST","Processing II","PO-C: Freight Distribution Item Number","YN",""
"ISTS.CFG.NZETYP","Setup III","Default Tax Code","",""
"ISTS.CFG.NZWOI","Processing","SO-G: Auto process Fin Prod for Converted WO","Y N",""
"ISTS.CFG.OANDA","International","Enable Oanda.com FX Rates","Y N",""
"ISTS.CFG.OQTYLN","Processing","SOE: Disable Generate Serials button.","Y N",""
"ISTS.CFG.ORDDSC","Setup","DC-A: Prevent Clock In if Start Qty = Completed Qty","Y NSP",""
"ISTS.CFG.ORIGPO","Setup","DC-A/B/HH-I Prevent Reporting Qty > than Prev Seq","Y N",""
"ISTS.CFG.PASSWD","Company","Password","",""
"ISTS.CFG.PAYRQC","Processing","DCA/B: Enter % Complete","Y N",""
"ISTS.CFG.PAYRQE","Processing","IN-B: Default Compliance Settings to N for New Items [YN]","YNA",""
"ISTS.CFG.PAYRQF","Processing","WOG, WOI: Specify Component Location","Y N",""
"ISTS.CFG.PICKT","Processing","PO-A Default for change dates (Y,N)","Y N",""
"ISTS.CFG.PIPSW","Acct. Receivables","Alternate Title for Credit Memo","",""
"ISTS.CFG.PIUID","Acct. Receivables","Edit Credit Card Info (C/A/B/N)?","",""
"ISTS.CFG.PJCNCR","Processing II","WO-F: Prompt for User Password (Y/N)","Y N",""
"ISTS.CFG.PKINV","Processing","Divide Overhead by # of Jobs Worked","YNA",""
